File_name,Problem type,Variables number,DD Type,Max Width,Num SOC constraints,Cut Type,CutStrengthening,Best solution,Root Gap,Gap,Solution Time,DD Time,Total Number Nodes,Total Number Arcs,NodeBB,Num Cuts
knapsack_n100m20o5b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,false,3029.000000,0.049851,0.000000,89.115819,3.967048,29984,55183,3703,101
knapsack_n100m20o3b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,false,3485.000000,0.049067,0.000000,142.331826,3.803527,31283,58109,19858,71
knapsack_n125m10o1b5_0.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5206.000000,0.009220,0.000000,2.667926,2.187386,19888,36673,443,29
knapsack_n125m10o1b5_2.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5231.000000,0.018734,0.000000,15.284147,2.712919,20788,38086,611,53
knapsack_n125m10o1b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5358.000000,0.021463,0.000000,40.957619,2.847378,20291,37448,1352,36
knapsack_n125m10o1b5_3.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5096.000000,0.016876,0.000000,23.857457,2.834562,18607,34538,674,19
knapsack_n125m10o1b5_4.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5147.000000,0.015543,0.000000,5.046136,2.853336,19303,35940,1750,26
knapsack_n125m10o3b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5294.000000,0.020023,0.000000,5.331269,2.683604,20962,38432,992,52
knapsack_n125m10o3b5_0.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5058.000000,0.016014,0.000000,32.803080,2.166079,20939,37981,1359,87
knapsack_n125m10o3b5_2.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5107.000000,0.022518,0.000000,31.090465,2.433626,20752,37754,1731,54
knapsack_n125m10o3b5_4.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5053.000000,0.022561,0.000000,16.826469,2.497400,20341,37683,6221,43
knapsack_n125m10o3b5_3.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,4986.000000,0.017649,0.000000,27.546289,2.852433,19455,35648,845,54
knapsack_n125m10o5b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5242.000000,0.024037,0.000000,17.817634,2.561570,20650,37676,661,59
knapsack_n125m10o5b5_0.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5010.000000,0.017565,0.000000,25.280813,2.151784,19852,35813,594,151
knapsack_n100m20o5b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,false,3379.000000,0.064812,0.000000,164.941945,3.580958,29718,54743,24020,86
knapsack_n125m10o5b5_2.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,false,5020.000000,0.028486,0.000000,36.173651,2.295023,20511,37092,3476,104
knapsack_n100m20o5b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,false,3380.000000,0.065976,0.000000,196.416636,3.546058,30245,55126,22922,131
knapsack_n100m20o5b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,false,3240.000000,0.067901,0.000000,252.233558,3.216787,29495,53058,31267,118
