File_name,Problem type,Variables number,Best solution,Dual bound,Gap, Solution Time
set_cover_n100_m66_d0.05_b_w35_seed3.txt,Set Cover,100,15.0,15.0,0.0,0.1323
set_cover_n100_m66_d0.5_b_w35_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.0469
set_cover_n100_m66_d0.05_b_w35_seed4.txt,Set Cover,100,14.0,14.0,0.0,0.1241
set_cover_n100_m66_d0.5_b_w35_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.0409
set_cover_n100_m66_d0.15_b_w35_seed1.txt,Set Cover,100,6.0,6.0,0.0,0.3905
set_cover_n100_m66_d0.15_b_w35_seed2.txt,Set Cover,100,7.0,7.0,0.0,1.9061
set_cover_n100_m66_d0.15_b_w35_seed3.txt,Set Cover,100,7.0,7.0,0.0,0.5621
set_cover_n100_m66_d0.15_b_w35_seed4.txt,Set Cover,100,7.0,7.0,0.0,0.1826
set_cover_n100_m66_d0.25_b_w35_seed1.txt,Set Cover,100,4.0,4.0,0.0,0.0821
set_cover_n100_m66_d0.25_b_w35_seed2.txt,Set Cover,100,4.0,4.0,0.0,0.0813
set_cover_n100_m66_d0.25_b_w35_seed3.txt,Set Cover,100,4.0,4.0,0.0,0.1006
set_cover_n100_m66_d0.25_b_w35_seed4.txt,Set Cover,100,4.0,4.0,0.0,0.0799
set_cover_n100_m66_d0.35_b_w35_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.0377
set_cover_n100_m66_d0.35_b_w35_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0551
set_cover_n100_m66_d0.35_b_w35_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.0499
set_cover_n100_m66_d0.35_b_w35_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.0814
set_cover_n100_m66_d0.45_b_w35_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.056
set_cover_n100_m66_d0.45_b_w35_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0296
set_cover_n100_m66_d0.45_b_w35_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.0297
set_cover_n100_m66_d0.45_b_w35_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.0331
set_cover_n100_m69_d0.1_b_w32_seed1.txt,Set Cover,100,9.0,9.0,0.0,0.7653
set_cover_n100_m69_d0.1_b_w32_seed2.txt,Set Cover,100,10.0,10.0,0.0,0.7997
set_cover_n100_m69_d0.1_b_w32_seed3.txt,Set Cover,100,9.0,9.0,0.0,0.2611
set_cover_n100_m69_d0.1_b_w32_seed4.txt,Set Cover,100,9.0,9.0,0.0,0.2054
set_cover_n100_m69_d0.2_b_w32_seed1.txt,Set Cover,100,5.0,5.0,0.0,0.2499
set_cover_n100_m69_d0.2_b_w32_seed2.txt,Set Cover,100,5.0,5.0,0.0,0.1426
set_cover_n100_m69_d0.2_b_w32_seed3.txt,Set Cover,100,5.0,5.0,0.0,0.3607
set_cover_n100_m69_d0.2_b_w32_seed4.txt,Set Cover,100,5.0,5.0,0.0,0.1603
set_cover_n100_m69_d0.3_b_w32_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.1518
set_cover_n100_m69_d0.3_b_w32_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.1604
set_cover_n100_m69_d0.3_b_w32_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.1695
set_cover_n100_m69_d0.3_b_w32_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.1654
set_cover_n100_m69_d0.4_b_w32_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0688
set_cover_n100_m69_d0.4_b_w32_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0412
set_cover_n100_m69_d0.4_b_w32_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.0386
set_cover_n100_m69_d0.4_b_w32_seed4.txt,Set Cover,100,3.0,3.0,0.0,0.0378
set_cover_n100_m69_d0.05_b_w32_seed1.txt,Set Cover,100,16.0,16.0,0.0,0.1481
set_cover_n100_m69_d0.5_b_w32_seed1.txt,Set Cover,100,3.0,3.0,0.0,0.0372
set_cover_n100_m69_d0.05_b_w32_seed2.txt,Set Cover,100,16.0,16.0,0.0,0.1119
set_cover_n100_m69_d0.5_b_w32_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.0518
set_cover_n100_m69_d0.05_b_w32_seed3.txt,Set Cover,100,14.0,14.0,0.0,0.0858
