File_name,Problem type,Variables number,DD Type,Max Width,Num SOC constraints,Cut Type,CutStrengthening,Best solution,Root Gap,Gap,Solution Time,DD Time,Total Number Nodes,Total Number Arcs,NodeBB,Num Cuts
knapsack_n150m20o1b5_1.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5626.0,0.017241379310344827,0.0,351.824,24.5486,41434,76966,22134,86
knapsack_n125m20o5b5_3.txt,SOC Knapsack,125,RelaxPriority,4000,20,JointFlowCuts,True,4307.0,0.038774088692825635,0.0,1192.0103,18.7172,37532,68133,82302,141
knapsack_n150m20o1b5_3.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5627.0,0.021858894615247912,0.0,273.5264,27.1298,44111,81304,20132,48
knapsack_n150m20o1b5_0.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5840.0,0.019691780821917807,0.0,818.4844,26.157600000000002,46826,85963,50691,50
knapsack_n150m20o1b5_4.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5755.0,0.020330147697654215,0.0,912.3125,27.6068,48558,89073,55990,55
knapsack_n150m20o3b5_1.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5437.0,0.026117344123597574,0.0,604.4041,23.0241,42715,78481,62909,142
knapsack_n125m20o3b5_1.txt,SOC Knapsack,125,RelaxPriority,4000,20,JointFlowCuts,True,4501.0,0.03532548322594979,0.0,3486.1225,18.445700000000002,39074,72040,233568,124
knapsack_n150m20o3b5_3.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5465.0,0.02616651418115279,0.0,381.9999,24.8214,45808,83690,34474,96
knapsack_n150m20o1b5_2.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5485.0,0.025888787602552414,0.0040109389243391065,3601.4349,27.1098,44186,81481,149969,57
knapsack_n150m20o3b5_0.txt,SOC Knapsack,150,RelaxPriority,4000,20,JointFlowCuts,True,5610.0,0.035115864527629236,0.006951871657754011,3601.1547,25.557100000000002,47347,86034,159607,131
