File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width
f8_l-d_kp_23_10000,Knapsack,23,Restricted,2000,false,max,9767,0.00373,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,5000,false,max,9767,0.00383,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,10000,false,max,9767,0.00387,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,20000,false,max,9767,0.00383,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,500,false,max,11497,0.00226,na,na,7710,12804,588
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,1000,false,max,9767,0.00353,na,na,11842,19983,1140
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,2000,false,max,9767,0.00383,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,5000,false,max,9767,0.00382,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,10000,false,max,9767,0.00376,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,20000,false,max,9767,0.00382,na,na,13672,22667,1783
f9_l-d_kp_5_80,Knapsack,5,Exact,99999,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,500,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,1000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,2000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,5000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,10000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,20000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,500,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,1000,false,max,130,0.00002,na,na,61,60,30
